,epoch,loss_train,loss_validation
0,499,1.6268550157546997,1.6268550157546997
1,999,1.1370826959609985,1.1370826959609985
2,1499,1.0349735021591187,1.0349735021591187
3,1999,1.031108021736145,1.031108021736145
4,2499,0.9136607050895691,0.9136607050895691
5,2999,0.9577738642692566,0.9577738642692566
6,3499,0.8811937570571899,0.8811937570571899
7,3999,0.8539901375770569,0.8539901375770569
8,4499,0.9011867046356201,0.9011867046356201
9,4999,0.847237765789032,0.847237765789032
10,5499,0.7531532645225525,0.7531532645225525
11,5999,0.8208252191543579,0.8208252191543579
12,6499,0.8291596174240112,0.8291596174240112
13,6999,0.6985467076301575,0.6985467076301575
14,7499,0.8156713247299194,0.8156713247299194
15,7999,0.9517928957939148,0.9517928957939148
16,8499,0.8853201270103455,0.8853201270103455
17,8999,0.6668862104415894,0.6668862104415894
18,9499,0.7124713063240051,0.7124713063240051
19,9999,0.9374807476997375,0.9374807476997375
20,10499,0.6718944907188416,0.6718944907188416
21,10999,0.6809245944023132,0.6809245944023132
22,11499,0.7965372204780579,0.7965372204780579
23,11999,0.6574210524559021,0.6574210524559021
24,12499,0.7469189763069153,0.7469189763069153
25,12999,0.6732286214828491,0.6732286214828491
26,13499,0.8215751051902771,0.8215751051902771
27,13999,0.68424391746521,0.68424391746521
28,14499,0.7002290487289429,0.7002290487289429
29,14999,0.9220779538154602,0.9220779538154602
30,15499,0.8865891695022583,0.8865891695022583
31,15999,0.6520231366157532,0.6520231366157532
32,16499,0.6913562417030334,0.6913562417030334
33,16999,0.6623085737228394,0.6623085737228394
34,17499,0.6852880716323853,0.6852880716323853
35,17999,0.9456146955490112,0.9456146955490112
36,18499,0.7166285514831543,0.7166285514831543
37,18999,0.6633545160293579,0.6633545160293579
38,19499,0.8960428237915039,0.8960428237915039
39,19999,0.6912179589271545,0.6912179589271545
40,20499,0.6608759760856628,0.6608759760856628
41,20999,0.7560093998908997,0.7560093998908997
42,21499,0.7064619064331055,0.7064619064331055
43,21999,0.6638364791870117,0.6638364791870117
44,22499,0.6712338328361511,0.6712338328361511
45,22999,1.020928144454956,1.020928144454956
46,23499,0.6254692673683167,0.6254692673683167
47,23999,0.7348758578300476,0.7348758578300476
